timestamp,difficulty,mode,server,service,winner,reason,hits,duration_s,last_hitter,last_shot,score_kai_before,score_mina_before,sets_kai,sets_mina
2026-05-03T18:56:09,Club,singles,opponent,serve_drive,player,Faute dehors,3,3.11,opponent,drop,12,8,0,0
2026-05-03T18:56:11,Club,singles,player,serve_short,opponent,Faute service,1,0.61,player,serve_short,13,8,0,0
2026-05-03T18:58:17,Club,singles,player,serve_lob,player,Faute filet,10,8.99,opponent,drop,0,0,0,0
2026-05-03T18:58:23,Club,singles,player,serve_short,player,Faute dehors,4,5.23,opponent,lob,1,0,0,0
2026-05-03T18:58:29,Club,singles,player,serve_lob,player,Faute filet,4,4.18,opponent,drop,2,0,0,0
2026-05-03T18:58:31,Club,singles,player,serve_drive,opponent,Faute filet,3,1.88,player,smash,3,0,0,0
2026-05-03T18:58:35,Club,singles,opponent,serve_short,player,Faute filet,3,2.05,opponent,drop,3,1,0,0
2026-05-03T18:58:40,Club,singles,player,serve_short,player,Point,3,4.31,player,smash,4,1,0,0
2026-05-03T18:58:46,Club,singles,player,serve_short,player,Faute dehors,4,4.55,opponent,lob,5,1,0,0
2026-05-03T18:58:51,Club,singles,player,serve_short,opponent,Faute dehors,3,4.12,player,lob,6,1,0,0
2026-05-03T18:58:56,Club,singles,opponent,serve_short,player,Faute dehors,3,3.99,opponent,lob,6,2,0,0
2026-05-03T18:58:58,Club,singles,player,serve_short,player,Faute filet,2,1.14,opponent,drive,7,2,0,0
2026-05-03T18:59:02,Club,singles,player,serve_lob,opponent,Faute filet,3,3.33,player,smash,8,2,0,0
2026-05-03T18:59:07,Club,singles,opponent,serve_short,player,Point,4,3.87,player,smash,8,3,0,0
2026-05-03T18:59:16,Club,singles,player,serve_short,opponent,Faute dehors,7,7.08,player,smash,9,3,0,0
2026-05-03T18:59:18,Club,singles,opponent,serve_short,opponent,Faute filet,2,1.28,player,drop,9,4,0,0
2026-05-03T18:59:22,Club,singles,opponent,serve_drive,opponent,Faute dehors,2,2.76,player,lob,9,5,0,0
2026-05-03T18:59:24,Club,singles,opponent,serve_short,opponent,Faute filet,2,1.15,player,drive,9,6,0,0
2026-05-03T18:59:30,Club,singles,opponent,serve_short,player,Faute filet,5,4.58,opponent,drop,9,7,0,0
2026-05-03T18:59:37,Club,singles,player,serve_drive,opponent,Point,6,5.77,opponent,smash,10,7,0,0
2026-05-03T18:59:42,Club,singles,opponent,serve_lob,opponent,Point,3,4.16,opponent,smash,10,8,0,0
2026-05-03T18:59:48,Club,singles,opponent,serve_lob,opponent,Faute filet,4,4.14,player,smash,10,9,0,0
2026-05-03T18:59:51,Club,singles,opponent,serve_lob,opponent,Faute filet,2,2.42,player,drop,10,10,0,0
2026-05-03T19:00:02,Club,singles,opponent,serve_drive,opponent,Faute dehors,8,9.47,player,lob,10,11,0,0
2026-05-03T19:00:12,Club,singles,opponent,serve_short,opponent,Faute filet,10,9.28,player,drop,10,12,0,0
2026-05-03T19:00:21,Club,singles,opponent,serve_short,player,Faute dehors,7,7.71,opponent,smash,10,13,0,0
2026-05-03T19:00:27,Club,singles,player,serve_drive,player,Faute filet,6,4.34,opponent,drop,11,13,0,0
2026-05-03T19:00:30,Club,singles,player,serve_drive,opponent,Faute dehors,3,2.79,player,smash,12,13,0,0
2026-05-03T19:00:35,Club,singles,opponent,serve_short,opponent,Faute filet,4,2.87,player,lob,12,14,0,0
2026-05-03T19:00:39,Club,singles,opponent,serve_short,opponent,Point,3,3.32,opponent,smash,12,15,0,0
2026-05-03T19:00:55,Club,singles,opponent,serve_short,opponent,Faute dehors,14,15.19,player,smash,12,16,0,0
2026-05-03T19:01:01,Club,singles,opponent,serve_short,player,Faute filet,5,4.51,opponent,smash,12,17,0,0
2026-05-03T19:01:04,Club,singles,player,serve_lob,player,Faute filet,2,2.22,opponent,smash,13,17,0,0
2026-05-03T19:01:12,Club,singles,player,serve_short,player,Faute filet,8,6.15,opponent,lob,14,17,0,0
2026-05-03T19:01:15,Club,singles,player,serve_short,player,Faute dehors,2,2.37,opponent,drop,15,17,0,0
2026-05-03T19:01:29,Club,singles,player,serve_lob,opponent,Faute dehors,11,12.71,player,drop,16,17,0,0
2026-05-03T19:01:33,Club,singles,opponent,serve_lob,opponent,Faute dehors,2,3.61,player,lob,16,18,0,0
2026-05-03T19:01:54,Club,singles,opponent,serve_lob,opponent,Point,17,19.23,opponent,smash,16,19,0,0
2026-05-03T19:02:06,Club,singles,opponent,serve_lob,player,Faute dehors,9,10.47,opponent,smash,16,20,0,0
2026-05-03T19:02:16,Club,singles,player,serve_short,opponent,Point,10,8.92,opponent,smash,17,20,0,0
2026-05-03T19:03:05,Club,singles,player,serve_drive,player,Faute dehors,6,6.67,opponent,lob,0,0,0,0
2026-05-03T19:03:09,Club,singles,player,serve_lob,player,Faute dehors,2,3.61,opponent,lob,1,0,0,0
2026-05-03T19:03:32,Club,singles,player,serve_lob,player,Faute dehors,20,21.28,opponent,drop,2,0,0,0
2026-05-03T19:03:43,Club,singles,player,serve_drive,player,Faute filet,12,10.64,opponent,drop,3,0,0,0
